# theta [deg]	wasp_takeoff_angle [deg]	n_b	lat_0 [deg]	lon_0 [deg]	Travel Time [s]	Celerity [km/s]	Turning Height [km]	Inclination [deg]	Back Azimuth [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]
20	70	0	39.825849	47.636671	1473.8996	0.25802486	114.92247	19.999746	-107.34866	-70.165007	-0.50005484

0	80	0	39.747739	55.606004	3789.3024	0.27762664	112.39016	0.00060495054	-92.293024	-46.19408	-0.72769365
1	80	0	39.390415	49.403333	1874.3227	0.27692972	112.39661	0.99993846	-96.246488	-58.387215	-0.3618585
2	80	0	39.38375	49.324869	1854.461	0.27623819	112.41592	1.9999359	-96.296278	-61.222298	-0.36260699
3	80	0	39.377104	49.24724	1834.7898	0.2755417	112.44809	2.9998418	-96.345531	-62.893534	-0.36388557
4	80	0	39.370386	49.169396	1815.0518	0.2748293	112.49309	3.9998898	-96.394914	-64.109127	-0.36570316
5	80	0	39.363532	49.090604	1795.0698	0.27409205	112.5509	4.999717	-96.44489	-65.079248	-0.36807251
6	80	0	39.356498	49.010393	1774.7343	0.27332275	112.62147	5.9998428	-96.49576	-65.88825	-0.37100994
7	80	0	39.349266	48.928584	1754.0095	0.27251647	112.70478	6.9998236	-96.547634	-66.578054	-0.37453525
8	80	0	39.341832	48.845168	1732.9029	0.27166961	112.80076	7.9997384	-96.60052	-67.172318	-0.37867153
9	80	0	39.334202	48.76026	1711.4541	0.27077969	112.90937	8.9998348	-96.654342	-67.687133	-0.38344509
10	80	0	39.326393	48.674086	1689.7297	0.26984532	113.03057	9.9998227	-96.708958	-68.133446	-0.38888553
11	80	0	39.318426	48.586899	1667.8033	0.26886558	113.16429	10.999939	-96.764208	-68.520669	-0.39502385
12	80	0	39.310326	48.498995	1645.7588	0.26784019	113.31048	11.999881	-96.819901	-68.856244	-0.4018925
13	80	0	39.302118	48.410658	1623.676	0.26676904	113.46909	12.999844	-96.875859	-69.146337	-0.40952716
14	80	0	39.293826	48.322168	1601.6331	0.26565232	113.64004	13.999866	-96.931905	-69.396398	-0.4179665
