# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
114.39098	40.629552	43.45	-148.65712	-13.057881	759.98892
113.37256	40.635957	43.45	-148.14998	-13.071818	763.57562
112.34164	40.642204	43.45	-147.60751	-13.08392	767.25248
111.29921	40.648302	43.45	-147.02972	-13.094355	771.01979
110.24624	40.654257	43.45	-146.41673	-13.103289	774.87708
109.18366	40.660078	43.45	-145.76935	-13.110887	778.82308
108.11239	40.665774	43.45	-145.08814	-13.117305	782.85557
107.03334	40.671355	43.45	-144.37601	-13.122693	786.97131
105.94738	40.676832	43.45	-143.63391	-13.12719	791.16578
104.85541	40.682214	43.45	-142.86559	-13.130925	795.43311
103.75828	40.687515	43.45	-142.0741	-13.134012	799.76629
102.65682	40.692746	43.45	-141.26366	-13.136556	804.15729
101.55189	40.697921	43.45	-140.43824	-13.138648	808.59652
100.44433	40.703052	43.45	-139.60354	-13.140365	813.07321
99.334998	40.708153	43.45	-138.76504	-13.141775	817.57549
98.224764	40.713241	43.45	-137.92728	-13.142935	822.09064
97.114376	40.718326	43.45	-137.09425	-13.143891	826.60738
96.00444	40.72342	43.45	-136.26884	-13.144681	831.11647
94.895474	40.728531	43.45	-135.45252	-13.145336	835.6102
93.787871	40.733667	43.45	-134.64638	-13.145881	840.08289
92.681913	40.738831	43.45	-133.85042	-13.146335	844.53076
91.577764	40.744027	43.45	-133.06403	-13.146716	848.95192
90.475424	40.749253	43.45	-132.28618	-13.147035	853.34683
89.374743	40.754508	43.45	-131.51463	-13.147304	857.71807
88.275451	40.759786	43.45	-130.74709	-13.14753	862.06965
87.177268	40.765084	43.45	-129.98271	-13.147722	866.40559
86.079908	40.770395	43.45	-129.22069	-13.147884	870.72984
84.983132	40.775718	43.45	-128.45966	-13.148022	875.04564
83.886726	40.781047	43.45	-127.69944	-13.14814	879.35586
82.790513	40.78638	43.45	-126.93908	-13.148241	883.66281
81.694356	40.791715	43.45	-126.1786	-13.148328	887.96831
80.598156	40.79705	43.45	-125.41789	-13.148404	892.27362
79.501864	40.802384	43.45	-124.65643	-13.148471	896.57942
78.405481	40.807718	43.45	-123.89478	-13.14853	900.88567
77.309041	40.813052	43.45	-123.1338	-13.148583	905.19194
76.212626	40.818388	43.45	-122.37368	-13.148629	909.49714
75.116364	40.823726	43.45	-121.61583	-13.14867	913.79961
74.020431	40.829071	43.45	-120.8608	-13.148707	918.09706
72.925066	40.834426	43.45	-120.11024	-13.148739	922.3864
71.830538	40.839796	43.45	-119.36339	-13.148767	926.66422
70.737039	40.845183	43.45	-118.62463	-13.148791	930.92816
69.644703	40.850589	43.45	-117.89187	-13.148812	935.17668
68.553656	40.856017	43.45	-117.16613	-13.148831	939.40839
67.464011	40.861468	43.45	-116.44772	-13.148847	943.62211
