# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
126.91411	0.012343832	0.013235627	-152.65306	-12.597473	717.65919
126.1349	0.012346458	0.013235627	-152.50183	-12.6491	720.32391
125.33842	0.012349046	0.013235627	-152.33714	-12.697702	723.02708
124.52452	0.012351596	0.013235627	-152.15781	-12.743293	725.77173
123.693	0.012354104	0.013235627	-151.9628	-12.785896	728.56134
122.84348	0.012356569	0.013235627	-151.75058	-12.82553	731.40034
121.97567	0.012358987	0.013235627	-151.51812	-12.862224	734.29357
121.08932	0.012361357	0.013235627	-151.26321	-12.896011	737.24635
120.18434	0.012363675	0.013235627	-150.9834	-12.926942	740.26427
119.26097	0.012365941	0.013235627	-150.6756	-12.955091	743.35242
118.3197	0.012368153	0.013235627	-150.33777	-12.980547	746.51538
117.36121	0.012370312	0.013235627	-149.96838	-13.003421	749.75729
116.3863	0.012372417	0.013235627	-149.56563	-13.023839	753.08168
115.3959	0.012374469	0.013235627	-149.12882	-13.041942	756.49144
114.39098	0.012376469	0.013235627	-148.65712	-13.057881	759.98892
113.37256	0.01237842	0.013235627	-148.14998	-13.071818	763.57562
112.34164	0.012380323	0.013235627	-147.60751	-13.08392	767.25248
111.29921	0.012382181	0.013235627	-147.02972	-13.094355	771.01979
110.24624	0.012383995	0.013235627	-146.41673	-13.103289	774.87708
109.18366	0.012385768	0.013235627	-145.76935	-13.110887	778.82308
108.11239	0.012387503	0.013235627	-145.08814	-13.117305	782.85557
107.03334	0.012389203	0.013235627	-144.37601	-13.122693	786.97131
105.94738	0.012390871	0.013235627	-143.63391	-13.12719	791.16578
104.85541	0.012392511	0.013235627	-142.86559	-13.130925	795.43311
103.75828	0.012394126	0.013235627	-142.0741	-13.134012	799.76629
102.65682	0.012395719	0.013235627	-141.26366	-13.136556	804.15729
101.55189	0.012397296	0.013235627	-140.43824	-13.138648	808.59652
100.44433	0.012398859	0.013235627	-139.60354	-13.140365	813.07321
99.334998	0.012400413	0.013235627	-138.76504	-13.141775	817.57549
98.224764	0.012401962	0.013235627	-137.92728	-13.142935	822.09064
97.114376	0.012403511	0.013235627	-137.09425	-13.143891	826.60738
96.00444	0.012405063	0.013235627	-136.26884	-13.144681	831.11647
94.895474	0.01240662	0.013235627	-135.45252	-13.145336	835.6102
93.787871	0.012408185	0.013235627	-134.64638	-13.145881	840.08289
92.681913	0.012409758	0.013235627	-133.85042	-13.146335	844.53076
91.577764	0.01241134	0.013235627	-133.06403	-13.146716	848.95192
90.475424	0.012412932	0.013235627	-132.28618	-13.147035	853.34683
89.374743	0.012414533	0.013235627	-131.51463	-13.147304	857.71807
88.275451	0.012416141	0.013235627	-130.74709	-13.14753	862.06965
87.177268	0.012417755	0.013235627	-129.98271	-13.147722	866.40559
86.079908	0.012419373	0.013235627	-129.22069	-13.147884	870.72984
84.983132	0.012420994	0.013235627	-128.45966	-13.148022	875.04564
83.886726	0.012422617	0.013235627	-127.69944	-13.14814	879.35586
82.790513	0.012424242	0.013235627	-126.93908	-13.148241	883.66281
81.694356	0.012425867	0.013235627	-126.1786	-13.148328	887.96831
80.598156	0.012427492	0.013235627	-125.41789	-13.148404	892.27362
79.501864	0.012429117	0.013235627	-124.65643	-13.148471	896.57942
78.405481	0.012430742	0.013235627	-123.89478	-13.14853	900.88567
77.309041	0.012432367	0.013235627	-123.1338	-13.148583	905.19194
76.212626	0.012433992	0.013235627	-122.37368	-13.148629	909.49714
75.116364	0.012435618	0.013235627	-121.61583	-13.14867	913.79961
74.020431	0.012437246	0.013235627	-120.8608	-13.148707	918.09706
72.925066	0.012438878	0.013235627	-120.11024	-13.148739	922.3864
71.830538	0.012440513	0.013235627	-119.36339	-13.148767	926.66422
70.737039	0.012442154	0.013235627	-118.62463	-13.148791	930.92816
69.644703	0.012443801	0.013235627	-117.89187	-13.148812	935.17668
68.553656	0.012445455	0.013235627	-117.16613	-13.148831	939.40839
67.464011	0.012447115	0.013235627	-116.44772	-13.148847	943.62211
66.375869	0.012448783	0.013235627	-115.73713	-13.148862	947.81685
65.289332	0.012450459	0.013235627	-115.03433	-13.148876	951.9917
64.20449	0.012452143	0.013235627	-114.33938	-13.14889	956.14585
63.121432	0.012453836	0.013235627	-113.65291	-13.148903	960.27865
62.040228	0.012455538	0.013235627	-112.97608	-13.148918	964.38962
60.960954	0.01245725	0.013235627	-112.30949	-13.148934	968.47831
59.883671	0.01245897	0.013235627	-111.65119	-13.148953	972.54441
58.808429	0.012460701	0.013235627	-111.00088	-13.148976	976.58779
57.735255	0.012462441	0.013235627	-110.35899	-13.149003	980.60858
56.664165	0.012464191	0.013235627	-109.72498	-13.149037	984.60702
55.595154	0.012465951	0.013235627	-109.09869	-13.14908	988.58353
54.528219	0.01246772	0.013235627	-108.47949	-13.149133	992.53855
53.463331	0.012469498	0.013235627	-107.86732	-13.1492	996.47273
52.400399	0.012471286	0.013235627	-107.26169	-13.149283	1000.3873
51.339284	0.012473081	0.013235627	-106.66158	-13.149386	1004.2838
50.279793	0.012474884	0.013235627	-106.06605	-13.149513	1008.1645
49.221666	0.012476694	0.013235627	-105.47404	-13.149667	1012.0318
48.164591	0.012478508	0.013235627	-104.88469	-13.149851	1015.8888
47.108177	0.012480325	0.013235627	-104.29584	-13.150068	1019.7392
46.051996	0.012482143	0.013235627	-103.70601	-13.150317	1023.5868
44.995559	0.012483961	0.013235627	-103.11396	-13.150598	1027.436
43.93832	0.012485776	0.013235627	-102.51714	-13.150908	1031.292
42.879767	0.012487585	0.013235627	-101.91413	-13.151242	1035.1595
41.819462	0.012489387	0.013235627	-101.30394	-13.151595	1039.0426
40.757059	0.01249118	0.013235627	-100.6848	-13.151961	1042.945
39.692308	0.012492963	0.013235627	-100.05609	-13.152334	1046.8694
38.625037	0.012494735	0.013235627	-99.417207	-13.152706	1050.818
37.555154	0.012496495	0.013235627	-98.767676	-13.153068	1054.7922
36.482637	0.012498244	0.013235627	-98.107681	-13.153409	1058.7929
35.407528	0.012499982	0.013235627	-97.436933	-13.153717	1062.8201
34.329951	0.012501708	0.013235627	-96.755919	-13.15398	1066.8733
33.250058	0.012503424	0.013235627	-96.065837	-13.154193	1070.9512
32.168053	0.01250513	0.013235627	-95.367185	-13.154358	1075.0521
31.084155	0.012506827	0.013235627	-94.660418	-13.154481	1079.174
29.998502	0.012508517	0.013235627	-93.946231	-13.154572	1083.3155
28.91122	0.012510199	0.013235627	-93.224442	-13.154643	1087.4756
27.822424	0.012511874	0.013235627	-92.496204	-13.154703	1091.6531
26.73222	0.012513542	0.013235627	-91.761438	-13.154757	1095.8469
25.640709	0.012515204	0.013235627	-91.020499	-13.154807	1100.0562
24.547995	0.012516861	0.013235627	-90.273779	-13.154855	1104.2797
23.454163	0.012518512	0.013235627	-89.521914	-13.154902	1108.5165
22.359291	0.012520159	0.013235627	-88.764998	-13.154947	1112.7659
21.263464	0.012521801	0.013235627	-88.003505	-13.154989	1117.0268
20.166746	0.012523439	0.013235627	-87.237613	-13.155027	1121.2985
19.069221	0.012525073	0.013235627	-86.467652	-13.155061	1125.58
17.971017	0.012526704	0.013235627	-85.695175	-13.155091	1129.8698
16.872392	0.012528334	0.013235627	-84.9222	-13.155117	1134.1644
15.773743	0.012529963	0.013235627	-84.152363	-13.15514	1138.4585
14.675625	0.012531595	0.013235627	-83.389099	-13.155159	1142.7449
13.578731	0.012533234	0.013235627	-82.63643	-13.155177	1147.0146
12.483798	0.012534883	0.013235627	-81.897853	-13.155192	1151.2582
11.391532	0.012536545	0.013235627	-81.176607	-13.155205	1155.4674
10.302666	0.012538224	0.013235627	-80.474741	-13.155216	1159.6344
9.2179383	0.012539924	0.013235627	-79.794667	-13.155224	1163.7518
8.1380701	0.012541646	0.013235627	-79.137526	-13.155229	1167.8137
